brand,brand_url,model,repair_type,price,timestamp,repair_type_matched,source_score,device_name,device_clean,repair_name,repair_clean,device_score,repair_score,price_clean,median_price,is_outlier,match_score,final_score,device_standard,repair_standard
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Ecouteur,59.9,2026-04-05T12:00:16+00:00,True,0.5,apple iphone 16 pro,apple iphone 16 pro,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16 pro,ecouteur
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Haut parleur,59.9,2026-04-05T12:00:16+00:00,True,0.5,apple iphone 16 pro,apple iphone 16 pro,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16 pro,haut parleur
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Module Afficheur,209.9,2026-04-05T12:00:33+00:00,False,0.5,apple iphone 16 plus,apple iphone 16 plus,module afficheur,module afficheur,1.0,1.0,209.9,59.9,True,1.3,0.0,apple iphone 16 plus,module afficheur
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Batterie,79.9,2026-04-05T12:00:33+00:00,True,0.5,apple iphone 16 plus,apple iphone 16 plus,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 16 plus,battery
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Appareil photo avant,89.9,2026-04-05T12:00:33+00:00,True,0.5,apple iphone 16 plus,apple iphone 16 plus,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 16 plus,appareil photo avant
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Caméra Arriére,109.9,2026-04-05T12:00:33+00:00,False,0.5,apple iphone 16 plus,apple iphone 16 plus,camera,camera,1.0,1.0,109.9,59.9,True,1.3,0.0,apple iphone 16 plus,camera
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Ecouteur,59.9,2026-04-05T12:00:33+00:00,True,0.5,apple iphone 16 plus,apple iphone 16 plus,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16 plus,ecouteur
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Haut parleur,59.9,2026-04-05T12:00:33+00:00,True,0.5,apple iphone 16 plus,apple iphone 16 plus,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16 plus,haut parleur
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Micro,99.9,2026-04-05T12:00:33+00:00,True,0.5,apple iphone 16 plus,apple iphone 16 plus,micro,micro,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 16 plus,micro
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Module Afficheur,189.9,2026-04-05T12:00:51+00:00,False,0.5,apple iphone 16,apple iphone 16,module afficheur,module afficheur,1.0,1.0,189.9,59.9,True,1.3,0.0,apple iphone 16,module afficheur
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Batterie,79.9,2026-04-05T12:00:51+00:00,True,0.5,apple iphone 16,apple iphone 16,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 16,battery
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Appareil photo avant,89.9,2026-04-05T12:00:51+00:00,True,0.5,apple iphone 16,apple iphone 16,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 16,appareil photo avant
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Caméra Arriére,109.9,2026-04-05T12:00:51+00:00,False,0.5,apple iphone 16,apple iphone 16,camera,camera,1.0,1.0,109.9,59.9,True,1.3,0.0,apple iphone 16,camera
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Micro,99.9,2026-04-05T12:00:51+00:00,True,0.5,apple iphone 16,apple iphone 16,micro,micro,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 16,micro
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Ecouteur,59.9,2026-04-05T12:00:51+00:00,True,0.5,apple iphone 16,apple iphone 16,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16,ecouteur
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Haut parleur,59.9,2026-04-05T12:00:51+00:00,True,0.5,apple iphone 16,apple iphone 16,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16,haut parleur
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Module Afficheur iPhone 15 Pro Max,229.9,2026-04-05T12:01:08+00:00,False,0.5,apple iphone 15 pro max,apple iphone 15 pro max,module afficheur iphone 15 pro max,module afficheur iphone 15 pro max,1.0,1.0,229.9,59.9,True,1.3,0.0,apple iphone 15 pro max,module afficheur iphone 15 pro max
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Batterie,79.9,2026-04-05T12:01:08+00:00,True,0.5,apple iphone 15 pro max,apple iphone 15 pro max,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 15 pro max,battery
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Appareil photo avant,89.9,2026-04-05T12:01:08+00:00,True,0.5,apple iphone 15 pro max,apple iphone 15 pro max,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 15 pro max,appareil photo avant
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Caméra Arriére iPhone 15 Pro Max,109.9,2026-04-05T12:01:08+00:00,False,0.5,apple iphone 15 pro max,apple iphone 15 pro max,camera,camera,1.0,1.0,109.9,59.9,True,1.3,0.0,apple iphone 15 pro max,camera
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Ecouteur,59.9,2026-04-05T12:01:08+00:00,True,0.5,apple iphone 15 pro max,apple iphone 15 pro max,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15 pro max,ecouteur
