brand,brand_url,model,repair_type,price,timestamp,repair_type_matched
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Micro,59.9,2026-04-05T12:01:08+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Connecteur de charge,99.9,2026-04-05T12:01:08+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Module Afficheur iPhone 15 Pro,209.9,2026-04-05T12:01:28+00:00,False
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Batterie,79.9,2026-04-05T12:01:28+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Appareil photo avant,89.9,2026-04-05T12:01:28+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Caméra Arriére iPhone 15 Pro,109.9,2026-04-05T12:01:28+00:00,False
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Ecouteur,59.9,2026-04-05T12:01:28+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Haut parleur,59.9,2026-04-05T12:01:28+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Micro,59.9,2026-04-05T12:01:28+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Connecteur de charge,99.9,2026-04-05T12:01:28+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Module Afficheur iPhone 15 Plus,189.9,2026-04-05T12:01:43+00:00,False
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Batterie,79.9,2026-04-05T12:01:43+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Appareil photo avant,79.9,2026-04-05T12:01:43+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Caméra Arriére iPhone 15 Plus,99.9,2026-04-05T12:01:43+00:00,False
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Ecouteur,59.9,2026-04-05T12:01:43+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Haut parleur,59.9,2026-04-05T12:01:43+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Micro,59.9,2026-04-05T12:01:43+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Connecteur de charge,99.9,2026-04-05T12:01:43+00:00,True
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Module Afficheur iPhone 15,169.9,2026-04-05T12:01:58+00:00,False
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Batterie,79.9,2026-04-05T12:01:58+00:00,True
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Appareil photo avant,89.9,2026-04-05T12:01:58+00:00,True
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Caméra Arriére iPhone 15,99.9,2026-04-05T12:01:58+00:00,False
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Ecouteur,59.9,2026-04-05T12:01:58+00:00,True
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Haut parleur,59.9,2026-04-05T12:01:58+00:00,True
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Micro,59.9,2026-04-05T12:01:58+00:00,True
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Connecteur de charge,99.9,2026-04-05T12:01:58+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Module Afficheur iPhone 14 Pro Max,189.9,2026-04-05T12:02:15+00:00,False
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Batterie,79.9,2026-04-05T12:02:15+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Appareil photo avant,89.9,2026-04-05T12:02:15+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Caméra Arriére iPhone 14 Pro Max,109.9,2026-04-05T12:02:15+00:00,False
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Ecouteur,59.9,2026-04-05T12:02:15+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Haut parleur,59.9,2026-04-05T12:02:15+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Micro,59.9,2026-04-05T12:02:15+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Connecteur de charge,99.9,2026-04-05T12:02:15+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,IPHONE 14 PRO,Module Afficheur iPhone 14 Pro,189.9,2026-04-05T12:02:31+00:00,False
Apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,IPHONE 14 PRO,Batterie,79.9,2026-04-05T12:02:31+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,IPHONE 14 PRO,Appareil photo avant,89.9,2026-04-05T12:02:31+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,IPHONE 14 PRO,Caméra Arriére iPhone 14 Pro,109.9,2026-04-05T12:02:31+00:00,False
Apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,IPHONE 14 PRO,Ecouteur,59.9,2026-04-05T12:02:31+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,IPHONE 14 PRO,Haut parleur,59.9,2026-04-05T12:02:31+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,IPHONE 14 PRO,Micro,59.9,2026-04-05T12:02:31+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,IPHONE 14 PRO,Connecteur de charge,99.9,2026-04-05T12:02:31+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,IPHONE 14 PLUS,Module Afficheur iPhone 14 Plus,169.9,2026-04-05T12:06:16+00:00,False
Apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,IPHONE 14 PLUS,Batterie,79.9,2026-04-05T12:06:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,IPHONE 14 PLUS,Appareil photo avant,89.9,2026-04-05T12:06:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,IPHONE 14 PLUS,Caméra Arriére iPhone 14 Plus,99.9,2026-04-05T12:06:16+00:00,False
Apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,IPHONE 14 PLUS,Ecouteur,59.9,2026-04-05T12:06:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,IPHONE 14 PLUS,Haut parleur,59.9,2026-04-05T12:06:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,IPHONE 14 PLUS,Micro,59.9,2026-04-05T12:06:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,IPHONE 14 PLUS,Connecteur de charge,99.9,2026-04-05T12:06:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-14?shop=DT060,IPHONE 14,Module Afficheur iPhone 14,149.9,2026-04-05T12:07:14+00:00,False
Apple,https://save.co/reparation/apple/iphone-14?shop=DT060,IPHONE 14,Batterie,79.9,2026-04-05T12:07:14+00:00,True
