brand,brand_url,model,repair_type,repair_name,price,repair_name_clean
Apple,www.phoneandcbd.com,iphone,other,Apple iPhone 13 pro max reconditionné,0.0,apple iphone 13 pro max reconditionn
Apple,https://phoneandcbd.fr/collections/iphone-13-marseille,iphone,other,other,0.0,other
Apple,www.phoneandcbd.com,iphone,other,other,799.0,other
Apple,www.phoneandcbd.com,iphone,other,Apple iPhone 13 pro reconditionné,799.0,apple iphone 13 pro reconditionn
Apple,https://phoneandcbd.fr/collections/iphone-13-marseille,iphone,other,other,799.0,other
Apple,www.phoneandcbd.com,iphone,other,other,699.0,other
Apple,www.phoneandcbd.com,iphone,other,Apple iPhone 13,699.0,apple iphone 13
Apple,https://phoneandcbd.fr/collections/iphone-13-marseille,iphone,other,other,699.0,other
Apple,www.phoneandcbd.com,iphone,other,other,599.0,other
Apple,www.phoneandcbd.com,iphone,other,Apple iPhone 13 mini,599.0,apple iphone 13 mini
Apple,https://phoneandcbd.fr/collections/iphone-13-marseille,iphone,other,other,599.0,other
Apple,www.phoneandcbd.com,iphone,other,other,499.0,other
Samsung,www.phoneandcbd.com,samsung,other,Réparation écran-20%,499.0,rparation cran20
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,other,other,499.0,other
Samsung,www.phoneandcbd.com,samsung,other,other,79.92,other
Samsung,www.phoneandcbd.com,samsung,other,other,79.92,other
Samsung,www.phoneandcbd.com,samsung,other,Remplacement batterie-42%,79.92,remplacement batterie42
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,other,other,79.92,other
Samsung,www.phoneandcbd.com,samsung,other,other,34.74,other
Samsung,www.phoneandcbd.com,samsung,other,other,34.74,other
Samsung,www.phoneandcbd.com,samsung,other,Réparation Appareil photo avant-42%,34.74,rparation appareil photo avant42
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,other,other,34.74,other
Samsung,www.phoneandcbd.com,samsung,other,other,34.74,other
Samsung,www.phoneandcbd.com,samsung,other,other,34.74,other
