brand,brand_url,model,repair_type,repair_name,price,repair_name_clean,source_score,device_name,device_clean,repair_clean,device_score,repair_score,price_clean,median_price,is_outlier,match_score,final_score,device_standard,repair_standard
Samsung,www.phoneandcbd.com,samsung,Batterie,battery,79.92,remplacement batterie42,0.5,samsung,samsung,battery,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,battery
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,Batterie,battery,79.92,batterie,0.5,samsung,samsung,battery,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,battery
Samsung,www.phoneandcbd.com,samsung,Batterie,battery,34.74,batterie,0.5,samsung,samsung,battery,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,battery
Samsung,www.phoneandcbd.com,samsung,Batterie,battery,34.74,batterie,0.5,samsung,samsung,battery,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,battery
Samsung,www.phoneandcbd.com,samsung,Batterie,battery,34.74,rparation appareil photo avant42,0.5,samsung,samsung,battery,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,battery
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,Batterie,battery,34.74,batterie,0.5,samsung,samsung,battery,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,battery
Samsung,www.phoneandcbd.com,samsung,Batterie,battery,34.74,batterie,0.5,samsung,samsung,battery,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,battery
Samsung,www.phoneandcbd.com,samsung,Batterie,battery,34.74,batterie,0.5,samsung,samsung,battery,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,battery
Samsung,www.phoneandcbd.com,samsung,Batterie,battery,34.74,tiroir carte sim60,0.5,samsung,samsung,battery,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,battery
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,Batterie,battery,34.74,batterie,0.5,samsung,samsung,battery,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,battery
Samsung,www.phoneandcbd.com,samsung,Batterie,battery,2.36,batterie,0.5,samsung,samsung,battery,1.0,1.0,2.36,34.74,True,1.2000000000000002,0.0,samsung,battery
Samsung,www.phoneandcbd.com,samsung,Batterie,battery,2.36,batterie,0.5,samsung,samsung,battery,1.0,1.0,2.36,34.74,True,1.2000000000000002,0.0,samsung,battery
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,2.36,rparation cran20,0.5,samsung,samsung,appareil photo avant,1.0,1.0,2.36,34.74,True,1.2000000000000002,0.0,samsung,appareil photo avant
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,Appareil photo avant,appareil photo avant,2.36,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,2.36,34.74,True,1.2000000000000002,0.0,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,79.92,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,79.92,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,79.92,remplacement batterie42,0.5,samsung,samsung,appareil photo avant,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,appareil photo avant
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,Appareil photo avant,appareil photo avant,79.92,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,34.74,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,34.74,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,34.74,rparation appareil photo avant42,0.5,samsung,samsung,appareil photo avant,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,appareil photo avant
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,Appareil photo avant,appareil photo avant,34.74,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,34.74,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,34.74,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,34.74,tiroir carte sim60,0.5,samsung,samsung,appareil photo avant,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,appareil photo avant
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,Appareil photo avant,appareil photo avant,34.74,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,34.74,34.74,False,1.2000000000000002,0.6000000000000001,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,2.36,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,2.36,34.74,True,1.2000000000000002,0.0,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Appareil photo avant,appareil photo avant,2.36,appareil photo avant,0.5,samsung,samsung,appareil photo avant,1.0,1.0,2.36,34.74,True,1.2000000000000002,0.0,samsung,appareil photo avant
Samsung,www.phoneandcbd.com,samsung,Tiroir carte Sim,tiroir carte sim,2.36,rparation cran20,0.5,samsung,samsung,tiroir carte sim,1.0,1.0,2.36,34.74,True,1.2000000000000002,0.0,samsung,tiroir carte sim
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,Tiroir carte Sim,tiroir carte sim,2.36,tiroir carte sim,0.5,samsung,samsung,tiroir carte sim,1.0,1.0,2.36,34.74,True,1.2000000000000002,0.0,samsung,tiroir carte sim
Samsung,www.phoneandcbd.com,samsung,Tiroir carte Sim,tiroir carte sim,79.92,tiroir carte sim,0.5,samsung,samsung,tiroir carte sim,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,tiroir carte sim
Samsung,www.phoneandcbd.com,samsung,Tiroir carte Sim,tiroir carte sim,79.92,tiroir carte sim,0.5,samsung,samsung,tiroir carte sim,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,tiroir carte sim
Samsung,www.phoneandcbd.com,samsung,Tiroir carte Sim,tiroir carte sim,79.92,remplacement batterie42,0.5,samsung,samsung,tiroir carte sim,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,tiroir carte sim
Samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,Tiroir carte Sim,tiroir carte sim,79.92,tiroir carte sim,0.5,samsung,samsung,tiroir carte sim,1.0,1.0,79.92,34.74,True,1.2000000000000002,0.0,samsung,tiroir carte sim
