title,url,price,image
Samsung Galaxy Grand Max,Samsung Galaxy Grand Max,"3.7|3|Reviews|Rs 10,699",https://images.priceoye.pk/samsung-galaxy-grand-max-g720-sm-g7202-d-has-no-lte-support-pakistan-priceoye-otc03-100x100.webp
Samsung Galaxy A7,Samsung Galaxy A7,"4|3|Reviews|Rs 49,999",https://images.priceoye.pk/samsung-galaxy-a7-pakistan-priceoye-100x100.webp
Samsung Galaxy E7,Samsung Galaxy E7,"4|2|Reviews|Rs 25,000",https://images.priceoye.pk/samsung-galaxy-e7-pakistan-priceoye-100x100.webp
Samsung Galaxy Core Prime,Samsung Galaxy Core Prime,"3|1|Reviews|Rs 12,999",https://images.priceoye.pk/samsung-galaxy-core-prime-pakistan-priceoye-ia92o-100x100.webp
Samsung Galaxy A3 Duos,Samsung Galaxy A3 Duos,"5|1|Reviews|Rs 24,700",https://images.priceoye.pk/samsung-galaxy-a3-duos-pakistan-priceoye-100x100.webp
Samsung Galaxy A5 (2019),Samsung Galaxy A5 (2019),"3.5|2|Reviews|Rs 22,999",https://images.priceoye.pk/samsung-galaxy-a5-pakistan-priceoye-100x100.webp
Samsung Galaxy A5 Dual SIM,Samsung Galaxy A5 Dual SIM,"4.3|7|Reviews|Rs 31,500",https://images.priceoye.pk/samsung-galaxy-a5-dual-sim-pakistan-priceoye-100x100.webp
Samsung Galaxy A3,Samsung Galaxy A3,"5|1|Reviews|Rs 28,499",https://images.priceoye.pk/samsung-galaxy-a3-pakistan-priceoye-100x100.webp
Samsung Galaxy Note Edge,Samsung Galaxy Note Edge,"5|1|Reviews|Rs 47,249",https://images.priceoye.pk/samsung-galaxy-note-edge-pakistan-priceoye-f7eun-100x100.webp
Samsung Galaxy Note 4,Samsung Galaxy Note 4,"5|3|Reviews|Rs 42,999",https://images.priceoye.pk/samsung-galaxy-note-4-pakistan-priceoye-lry9l-100x100.webp
Samsung Galaxy Grand Prime,Samsung Galaxy Grand Prime,"3|1|Reviews|Rs 16,999",https://images.priceoye.pk/samsung-galaxy-grand-prime-pakistan-priceoye-100x100.webp
Samsung Galaxy Alpha,Samsung Galaxy Alpha,"4.5|2|Reviews|Rs 34,499",https://images.priceoye.pk/samsung-galaxy-alpha-pakistan-priceoye-8muw4-100x100.webp
Samsung Galaxy Alpha G850,Samsung Galaxy Alpha G850,"3.8|4|Reviews|Rs 29,999",https://images.priceoye.pk/samsung-galaxy-alpha-g850-pakistan-priceoye-100x100.webp
Samsung Galaxy S5 Duos,Samsung Galaxy S5 Duos,"4|3|Reviews|Rs 36,499",https://images.priceoye.pk/samsung-galaxy-s5-duos-pakistan-priceoye-afphk-100x100.webp
Samsung Galaxy F52,Samsung Galaxy F52,"Rs 64,999",https://images.priceoye.pk/samsung-galaxy-f52-pakistan-priceoye-shugz-100x100.webp
Samsung Galaxy S III mini,Samsung Galaxy S III mini,"3.5|2|Reviews|Rs 20,000",https://images.priceoye.pk/samsung-galaxy-s-iii-mini-pakistan-priceoye-100x100.webp
Samsung Galaxy A62,Samsung Galaxy A62,"Rs 62,999",https://images.priceoye.pk/samsung-galaxy-a62-pakistan-priceoye-6xhh2-100x100.webp
Samsung Galaxy Note 2,Samsung Galaxy Note 2,"4.7|3|Reviews|Rs 28,000",https://images.priceoye.pk/samsung-galaxy-note-2-pakistan-priceoye-100x100.webp
Samsung Ativ S,Samsung Ativ S,"5|1|Reviews|Rs 20,000",https://images.priceoye.pk/samsung-ativ-s-pakistan-priceoye-100x100.webp
Samsung Galaxy S Duos S7562,Samsung Galaxy S Duos S7562,"4.7|3|Reviews|Rs 20,000",https://images.priceoye.pk/samsung-galaxy-s-duos-s7562-pakistan-priceoye-100x100.webp
Samsung Galaxy Ace Duos,Samsung Galaxy Ace Duos,"4|2|Reviews|Rs 19,399",https://images.priceoye.pk/samsung-galaxy-ace-duos-pakistan-priceoye-100x100.webp
Samsung Galaxy S3,Samsung Galaxy S3,"5|2|Reviews|Rs 34,990",https://images.priceoye.pk/samsung-galaxy-s3-pakistan-priceoye-100x100.webp
Samsung Galaxy Beam,Samsung Galaxy Beam,"4|2|Reviews|Rs 22,000",https://images.priceoye.pk/samsung-galaxy-beam-pakistan-priceoye-100x100.webp
Samsung Galaxy S Blaze 4G,Samsung Galaxy S Blaze 4G,"5|1|Reviews|Rs 22,000",https://images.priceoye.pk/samsung-galaxy-s-blaze-4g-pakistan-priceoye-100x100.webp
Samsung Galaxy Y Duos S6102,Samsung Galaxy Y Duos S6102,"5|1|Reviews|Rs 15,090",https://images.priceoye.pk/samsung-galaxy-y-duos-s6102-pakistan-priceoye-100x100.webp
Samsung Galaxy Nexus I9250,Samsung Galaxy Nexus I9250,"5|2|Reviews|Rs 12,999",https://images.priceoye.pk/samsung-galaxy-nexus-pakistan-priceoye-100x100.webp
Samsung Galaxy E62,Samsung Galaxy E62,"Rs 58,999",https://images.priceoye.pk/samsung-galaxy-e62-pakistan-priceoye-msk8g-100x100.webp
Samsung Galaxy Note 20 FE,Samsung Galaxy Note 20 FE,"Rs 124,999",https://images.priceoye.pk/samsung-galaxy-note-20-fe-pakistan-priceoye-nnea8-100x100.webp
Samsung Galaxy M02s,Samsung Galaxy M02s,"Rs 21,999",https://images.priceoye.pk/samsung-galaxy-m02s-pakistan-priceoye-a7clj-100x100.webp
Samsung Galaxy F22,Samsung Galaxy F22,"Rs 26,999",https://images.priceoye.pk/samsung-galaxy-f22-pakistan-priceoye-gnpel-100x100.webp
Samsung Galaxy Note 20 Plus,Samsung Galaxy Note 20 Plus,"5|1|Reviews|Rs 99,999",https://images.priceoye.pk/samsung-galaxy-note-20-plus-pakistan-priceoye-5zctz-100x100.webp
Samsung Galaxy M41,Samsung Galaxy M41,"Rs 46,000",https://images.priceoye.pk/samsung-galaxy-m41-pakistan-priceoye-6y23x-100x100.webp
Samsung galaxy S11 Lite,Samsung galaxy S11 Lite,"Rs 200,000",https://images.priceoye.pk/samsung-galaxy-s11-lite-pakistan-priceoye-60m7g-100x100.webp
Samsung Galaxy A42 5G,Samsung Galaxy A42 5G,"5|1|Reviews|Rs 57,999",https://images.priceoye.pk/samsung-galaxy-a42-pakistan-priceoye-bl46g-100x100.webp
Samsung Galaxy F41,Samsung Galaxy F41,"Rs 57,999",https://images.priceoye.pk/samsung-galaxy-f41-pakistan-priceoye-2rana-100x100.webp
Samsung Galaxy M01 Core,Samsung Galaxy M01 Core,"Rs 20,999",https://images.priceoye.pk/samsung-galaxy-m01-core-pakistan-priceoye-0txd9-100x100.webp
Samsung Galaxy Note 21,Samsung Galaxy Note 21,"Rs 183,999",https://images.priceoye.pk/samsung-galaxy-note-21-pakistan-priceoye-r83bp-100x100.webp
Samsung Galaxy Z Flip Lite,Samsung Galaxy Z Flip Lite,"Rs 153,999",https://images.priceoye.pk/samsung-galaxy-z-flip-lite-pakistan-priceoye-q57t1-100x100.webp
Samsung Galaxy A013,Samsung Galaxy A013,"Rs 13,999",https://images.priceoye.pk/samsung-galaxy-a013-pakistan-priceoye-lknom-100x100.webp
Samsung Galaxy A40s,Samsung Galaxy A40s,"Rs 54,000",https://images.priceoye.pk/samsung-galaxy-a40s-pakistan-priceoye-sdn9r-100x100.webp
Samsung Galaxy Jean2,Samsung Galaxy Jean2,"Rs 33,300",https://images.priceoye.pk/samsung-galaxy-jean2-pakistan-priceoye-gb3ut-100x100.webp
