product_url,title,img_url,price,item_stats,reviews,sale_vol,data
https://www.daraz.pk/products/-i509286105.html,Watch for Men and Boys- Imported Wrist Watch with Rubber Straps Casual Watch for Men Quartz Men Watches,https://img.drz.lazcdn.com/static/pk/p/0642e5c27f6fec9088a84f3b841e0919.jpg_200x200q80.avif,Rs. 499,"<span class=""_1cEkb""><span class="""">4.8K sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB i6t3-""></i><span class=""qzqFw"">(832)</span></div><span class=""oa6ri "" title=""Sindh"">Sindh</span>",(832),4.8K sold,"<span class=""_1cEkb""><span class="""">4.8K sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB i6t3-""></i><span class=""qzqFw"">(832)</span></div><span class=""oa6ri "" title=""Sindh"">Sindh</span>"
https://www.daraz.pk/products/5-i429256315.html,Pack Of 5 Mega Deal Men's Gift Wedding Watch Deal -Top Class High Quality Wrist Watch+Gold Stainless steel Luxury Italian Cuban Link Bracelet For Men/Boys Luxury Classic Business Sport Watch for Men / Boys AlRashid Shopping Store,https://img.drz.lazcdn.com/static/pk/p/3c32c06a50fe807f0a39ea34055a3957.jpg_200x200q80.avif,Rs. 426,"<span class=""_1cEkb""><span class="""">543 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB B4Foa""></i><span class=""qzqFw"">(91)</span></div><span class=""oa6ri "" title=""Punjab"">Punjab</span>",(91),543 sold,"<span class=""_1cEkb""><span class="""">543 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB B4Foa""></i><span class=""qzqFw"">(91)</span></div><span class=""oa6ri "" title=""Punjab"">Punjab</span>"
https://www.daraz.pk/products/baishang-i885062845.html,"BAISHANG Men Quartz Wrist Watch – Luxury Stainless Steel Belt, Elegant & Casual",https://img.drz.lazcdn.com/g/kf/Sf4c21c78e966401b998f6af2aa9bb122v.jpg_200x200q80.avif,"Rs. 1,000","<span class=""oa6ri "" title=""Punjab"">Punjab</span>",,,"<span class=""oa6ri "" title=""Punjab"">Punjab</span>"
https://www.daraz.pk/products/watch-strap-for-xiaomi-mi-band-7-6-5-wristband-silicone-bracelet-wrist-straps-miband-5-band6-smartwatch-accessories-i786356691.html,Watch Strap For Xiaomi Mi Band 7 6 5 Wristband Silicone Bracelet Wrist Straps MiBand 5 band6 Smartwatch Accessories |,https://img.drz.lazcdn.com/static/pk/p/871163ee35920a62f6105df091630a85.jpg_200x200q80.avif,Rs. 295,"<span class=""_1cEkb""><span class="""">46 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><span class=""qzqFw"">(14)</span></div><span class=""oa6ri "" title=""Punjab"">Punjab</span>",(14),46 sold,"<span class=""_1cEkb""><span class="""">46 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><span class=""qzqFw"">(14)</span></div><span class=""oa6ri "" title=""Punjab"">Punjab</span>"
https://www.daraz.pk/products/-i540128574.html,Vintage Black Classic Digital Wrist Watch,https://img.drz.lazcdn.com/static/pk/p/d886788ab7c2def8e57b01705ca6d04d.jpg_200x200q80.avif,Rs. 322,"<span class=""_1cEkb""><span class="""">350 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB +5T4q""></i><span class=""qzqFw"">(64)</span></div><span class=""oa6ri "" title=""Sindh"">Sindh</span>",(64),350 sold,"<span class=""_1cEkb""><span class="""">350 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB +5T4q""></i><span class=""qzqFw"">(64)</span></div><span class=""oa6ri "" title=""Sindh"">Sindh</span>"
https://www.daraz.pk/products/aur-i432005708.html,AUR Collections Black COLOR Magnetic Wrist Watch for Girls,https://img.drz.lazcdn.com/g/kf/Sa4d7ffbd679d4252b96a28b6a07f378c8.jpg_200x200q80.avif,Rs. 264,"<span class=""_1cEkb""><span class="""">3.8K sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB K8PID""></i><span class=""qzqFw"">(596)</span></div><span class=""oa6ri "" title=""Sindh"">Sindh</span>",(596),3.8K sold,"<span class=""_1cEkb""><span class="""">3.8K sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB K8PID""></i><span class=""qzqFw"">(596)</span></div><span class=""oa6ri "" title=""Sindh"">Sindh</span>"
https://www.daraz.pk/products/-i462531503.html,Imported Decent Look Beautifull Design Leather Strap Wrist Watch For Men,https://img.drz.lazcdn.com/static/pk/p/0ee52d4c31d54a976f1450f4ba74334e.jpg_200x200q80.avif,Rs. 128,"<span class=""_1cEkb""><span class="""">15 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB i6t3-""></i><i class=""_9-ogB W1iJ5""></i><span class=""qzqFw"">(3)</span></div><span class=""oa6ri "" title=""Punjab"">Punjab</span>",(3),15 sold,"<span class=""_1cEkb""><span class="""">15 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB i6t3-""></i><i class=""_9-ogB W1iJ5""></i><span class=""qzqFw"">(3)</span></div><span class=""oa6ri "" title=""Punjab"">Punjab</span>"
https://www.daraz.pk/products/dreamsmart-pack-of-4pcs-pin-for-watchband-strap-pin-remover-wrist-watch-band-adjuster-watchmaker-tool-chain-pin-link-remover-i258838467.html,DreamsMart Pack of 4pcs Pin for Watchband Strap Pin Remover wrist Watch band Adjuster Watchmaker Tool Chain Pin Link Remover,https://img.drz.lazcdn.com/static/pk/p/6d946c168a3fa769facd8be6de4fb077.jpg_200x200q80.avif,Rs. 149,"<span class=""_1cEkb""><span class="""">347 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB fqfC4""></i><span class=""qzqFw"">(85)</span></div><span class=""oa6ri "" title=""Khyber Pakhtunkhwa"">Khyber Pakhtunkhwa</span>",(85),347 sold,"<span class=""_1cEkb""><span class="""">347 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB fqfC4""></i><span class=""qzqFw"">(85)</span></div><span class=""oa6ri "" title=""Khyber Pakhtunkhwa"">Khyber Pakhtunkhwa</span>"
https://www.daraz.pk/products/-i429539596.html,Fashion Magnetic Wrist Watch for Girls,https://img.drz.lazcdn.com/g/kf/S4c65a44131ba4508ab14ddd7a1ab40481.jpg_200x200q80.avif,Rs. 245,"<span class=""_1cEkb""><span class="""">1.2K sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB +5T4q""></i><span class=""qzqFw"">(161)</span></div><span class=""oa6ri "" title=""Sindh"">Sindh</span>",(161),1.2K sold,"<span class=""_1cEkb""><span class="""">1.2K sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB +5T4q""></i><span class=""qzqFw"">(161)</span></div><span class=""oa6ri "" title=""Sindh"">Sindh</span>"
https://www.daraz.pk/products/-i477975385.html,Customized Wrist Watch With Photo & Name,https://img.drz.lazcdn.com/g/kf/Se12221523cb14c01bd34f5dbe604ff0es.jpg_200x200q80.avif,Rs. 500,"<span class=""_1cEkb""><span class="""">79 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB JhD+v""></i><span class=""qzqFw"">(21)</span></div><span class=""oa6ri "" title=""Punjab"">Punjab</span>",(21),79 sold,"<span class=""_1cEkb""><span class="""">79 sold</span><span class=""brHcE""></span></span><div class=""mdmmT _32vUv""><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB Dy1nx""></i><i class=""_9-ogB JhD+v""></i><span class=""qzqFw"">(21)</span></div><span class=""oa6ri "" title=""Punjab"">Punjab</span>"
