brand,brand_url,model,repair_type,price,source,part_name,date_Of_Scrapping
samsung,www.phoneandcbd.com,samsung,appareil photo avant,34.74,www.phoneandcbd.com,Appareil photo avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,appareil photo avant,34.74,www.phoneandcbd.com,Réparation Appareil photo avant-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,appareil photo avant,34.74,www.phoneandcbd.com,Appareil photo avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,appareil photo avant,34.74,www.phoneandcbd.com,Appareil photo avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,appareil photo avant,34.74,www.phoneandcbd.com,Appareil photo avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,appareil photo avant,34.74,www.phoneandcbd.com,Tiroir carte Sim-60%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,appareil photo avant,34.74,www.phoneandcbd.com,Appareil photo avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,appareil photo avant,2.36,www.phoneandcbd.com,Appareil photo avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,appareil photo avant,2.36,www.phoneandcbd.com,Appareil photo avant,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,2.36,www.phoneandcbd.com,Réparation écran-20%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,tiroir carte sim,2.36,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,79.92,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,79.92,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,79.92,www.phoneandcbd.com,Remplacement batterie-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,tiroir carte sim,79.92,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,34.74,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,34.74,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,34.74,www.phoneandcbd.com,Réparation Appareil photo avant-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,tiroir carte sim,34.74,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,34.74,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
