brand,brand_url,model,repair_type,price,date_Of_Scrapping,repair_type_matched
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,batterie,79.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,appareil photo avant,89.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,caméra arriére iphone 15 pro,109.9,2026-04-05T12:01:28+00:00,False
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,ecouteur,59.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,haut parleur,59.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,micro,59.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,connecteur de charge,99.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,module afficheur iphone 15 plus,189.9,2026-04-05T12:01:43+00:00,False
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,batterie,79.9,2026-04-05T12:01:43+00:00,True
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,appareil photo avant,79.9,2026-04-05T12:01:43+00:00,True
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,caméra arriére iphone 15 plus,99.9,2026-04-05T12:01:43+00:00,False
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,ecouteur,59.9,2026-04-05T12:01:43+00:00,True
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,haut parleur,59.9,2026-04-05T12:01:43+00:00,True
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,micro,59.9,2026-04-05T12:01:43+00:00,True
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,connecteur de charge,99.9,2026-04-05T12:01:43+00:00,True
apple,https://save.co/reparation/apple/iphone-15?shop=DT060,iphone 15,module afficheur iphone 15,169.9,2026-04-05T12:01:58+00:00,False
apple,https://save.co/reparation/apple/iphone-15?shop=DT060,iphone 15,batterie,79.9,2026-04-05T12:01:58+00:00,True
apple,https://save.co/reparation/apple/iphone-15?shop=DT060,iphone 15,appareil photo avant,89.9,2026-04-05T12:01:58+00:00,True
apple,https://save.co/reparation/apple/iphone-15?shop=DT060,iphone 15,caméra arriére iphone 15,99.9,2026-04-05T12:01:58+00:00,False
apple,https://save.co/reparation/apple/iphone-15?shop=DT060,iphone 15,ecouteur,59.9,2026-04-05T12:01:58+00:00,True
apple,https://save.co/reparation/apple/iphone-15?shop=DT060,iphone 15,haut parleur,59.9,2026-04-05T12:01:58+00:00,True
apple,https://save.co/reparation/apple/iphone-15?shop=DT060,iphone 15,micro,59.9,2026-04-05T12:01:58+00:00,True
apple,https://save.co/reparation/apple/iphone-15?shop=DT060,iphone 15,connecteur de charge,99.9,2026-04-05T12:01:58+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,iphone 14 pro max,module afficheur iphone 14 pro max,189.9,2026-04-05T12:02:15+00:00,False
apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,iphone 14 pro max,batterie,79.9,2026-04-05T12:02:15+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,iphone 14 pro max,appareil photo avant,89.9,2026-04-05T12:02:15+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,iphone 14 pro max,caméra arriére iphone 14 pro max,109.9,2026-04-05T12:02:15+00:00,False
apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,iphone 14 pro max,ecouteur,59.9,2026-04-05T12:02:15+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,iphone 14 pro max,haut parleur,59.9,2026-04-05T12:02:15+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,iphone 14 pro max,micro,59.9,2026-04-05T12:02:15+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,iphone 14 pro max,connecteur de charge,99.9,2026-04-05T12:02:15+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,iphone 14 pro,module afficheur iphone 14 pro,189.9,2026-04-05T12:02:31+00:00,False
apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,iphone 14 pro,batterie,79.9,2026-04-05T12:02:31+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,iphone 14 pro,appareil photo avant,89.9,2026-04-05T12:02:31+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,iphone 14 pro,caméra arriére iphone 14 pro,109.9,2026-04-05T12:02:31+00:00,False
apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,iphone 14 pro,ecouteur,59.9,2026-04-05T12:02:31+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,iphone 14 pro,haut parleur,59.9,2026-04-05T12:02:31+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,iphone 14 pro,micro,59.9,2026-04-05T12:02:31+00:00,True
apple,https://save.co/reparation/apple/iphone-14-pro?shop=DT060,iphone 14 pro,connecteur de charge,99.9,2026-04-05T12:02:31+00:00,True
apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,iphone 14 plus,module afficheur iphone 14 plus,169.9,2026-04-05T12:06:16+00:00,False
apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,iphone 14 plus,batterie,79.9,2026-04-05T12:06:16+00:00,True
apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,iphone 14 plus,appareil photo avant,89.9,2026-04-05T12:06:16+00:00,True
apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,iphone 14 plus,caméra arriére iphone 14 plus,99.9,2026-04-05T12:06:16+00:00,False
